external_field_name,external_source,semantic_description,substrate_mapping,classification,rationale,follow_on_q
knowledge-base-class,ASPIC+,"Kn (necessary) | Kp (ordinary premises) | Ka (assumptions) | Ki (issues) classification of premises",CriticalQuestion.premiseType (Carneades-mapped: assumption | exception | ordinary),representable-but-absent,Substrate uses Carneades's premiseType which maps onto ASPIC+'s Kn/Kp/Ka taxonomy at round-trip time; see Spec 3 phase 3d,
last-link-vs-weakest-link,ASPIC+,Preference principle for argument-tree evaluation,,externally-load-bearing-internally-irrelevant,System-level evaluation policy; substrate's evaluation uses Carneades-style proof-standard not ASPIC+ link policies,
rebut-vs-undercut,ASPIC+,Distinguishes attacks on conclusion vs on inference,CriticalQuestion.attackKind,exposed,attackKind ∈ {rebut undercut undermine} mirrors ASPIC+ distinctions,
axiom-vs-premise,ASPIC+,Whether a premise is axiomatic (cannot be attacked) or ordinary,CriticalQuestion.premiseType=ordinary vs assumption + isAxiomatic flag,representable-but-absent,Substrate's premiseType taxonomy covers the substantive distinction; an `isAxiomatic` boolean would make it explicit at the CQ level,Q-025
# === DefLog (Verheij 2003) ===
defeater-pattern,DefLog,Pattern for when this rule is defeated,CriticalQuestion[],representable-but-absent,Substrate models defeaters as CQs with attackKind; round-trip serialiser builds the pattern,
issue-attack-rule,DefLog,Rule whose attack creates a dialectical issue,,representable-but-absent,Substrate models issues via dialogue-layer Open/Close locutions; round-trip would build from CQ status transitions,
warrant-marker,DefLog,Whether this scheme requires its warrant to be made explicit (Toulmin-style),,intentional-exclusion,Substrate's premise templates always make the warrant explicit (it's the major premise) so the marker is redundant,
dialectical-justification,DefLog,Justification structure linking conclusion to grounds via warrant,ArgumentScheme.premises + conclusion + aspicMapping,representable-but-absent,Re-derivable from substrate's structural fields; no canonical justification string is stored,
# === WRM-2008 (Walton Reed Macagno 2008 Ch. 9) ===
name,WRM-2008,Scheme name,ArgumentScheme.name,exposed,,
premises,WRM-2008,Named premise templates,ArgumentScheme.premises,exposed,,
conclusion,WRM-2008,Conclusion template,ArgumentScheme.conclusion,exposed,,
critical-questions,WRM-2008,Named CQ list with attack semantics,CriticalQuestion[],exposed,,
classification-tree-position,WRM-2008,Position in WRM 2008's hierarchical scheme tree (Ch. 9),ArgumentScheme.parentSchemeId + clusterTag,representable-but-absent,Substrate's hierarchy fields cover this but tree-position metadata (depth root-distance siblings) is computed not stored,
chapter-section-reference,WRM-2008,Source-document chapter/section for this scheme,,accidental-omission,Substrate has no per-scheme citation pointer back to WRM 2008. Required for honest catalogue provenance,Q-022
sub-scheme-of,WRM-2008,Direct subsumption relation,ArgumentScheme.parentSchemeId,exposed,,
example-cases,WRM-2008,Concrete worked examples for each scheme,ArgumentScheme.examples,exposed,,
identification-conditions,WRM-2008,When this scheme is applicable,ArgumentScheme.identificationConditions + whenToUse,exposed,,
# === Wagemans PTA (Wagemans 2016) ===
predicate-type,Wagemans-PTA,Predicate type of the conclusion (proposition typology),ArgumentScheme.conclusionType,exposed,,
subject-type,Wagemans-PTA,Subject type of the conclusion,,accidental-omission,Substrate has no per-scheme subject-typology field; Wagemans's PTA requires this for full taxonomy placement,Q-026
relation,Wagemans-PTA,Type of relation between premise and conclusion,ArgumentScheme.materialRelation,exposed,,
first-order-vs-second-order,Wagemans-PTA,Predicate of object vs predicate of statement,,representable-but-absent,Derivable from conclusionType + reasoningType combination but not explicit,
epistemic-vs-deontic,Wagemans-PTA,"is vs ought axis",ArgumentScheme.conclusionType ∈ {is ought},exposed,,
